right_area,left_area
12641.5,13559.5
16054.5,16718.0
12571.0,13674.0
13856.0,13633.5
12868.0,13287.0
15676.0,15936.0
17290.0,17367.0
10000.0,10517.5
18127.0,17289.0
11037.5,11573.0
12850.0,12350.0
12925.0,9411.5
